,DetectedCamera_Front,DetectedCamera_Left,DetectedCamera_Rear,DetectedCamera_Right,AngleOfSign,SignAspectRatio,SignWidth,SignHeight
63,0.0,0.0,1.0,0.0,208,1.02,95,93
64,0.0,1.0,0.0,0.0,248,0.76,70,92
65,0.0,0.0,1.0,0.0,204,0.98,78,80
66,0.0,0.0,0.0,1.0,72,1.02,114,112
67,1.0,0.0,0.0,0.0,19,0.94,125,133
68,1.0,0.0,0.0,0.0,26,0.97,116,119
69,0.0,0.0,0.0,1.0,67,0.93,115,124
70,0.0,0.0,0.0,1.0,67,0.93,115,124
71,0.0,0.0,1.0,0.0,203,0.69,46,67
72,0.0,0.0,1.0,0.0,228,0.91,135,148
73,1.0,0.0,0.0,0.0,16,0.96,68,71
74,0.0,1.0,0.0,0.0,245,0.94,104,111
75,1.0,0.0,0.0,0.0,23,0.85,94,111
76,0.0,0.0,1.0,0.0,192,0.89,32,36
77,1.0,0.0,0.0,0.0,16,0.82,54,66
78,1.0,0.0,0.0,0.0,18,1.04,59,57
79,0.0,0.0,1.0,0.0,197,0.76,38,50
80,0.0,0.0,0.0,1.0,62,0.98,115,117
81,1.0,0.0,0.0,0.0,44,1.05,113,108
82,1.0,0.0,0.0,0.0,22,0.99,75,76
83,0.0,0.0,1.0,0.0,201,0.89,39,44
84,0.0,0.0,0.0,1.0,78,0.44,58,132
85,0.0,1.0,0.0,0.0,245,0.73,56,77
86,1.0,0.0,0.0,0.0,32,0.89,109,123
87,0.0,0.0,1.0,0.0,229,0.7,66,94
88,0.0,1.0,0.0,0.0,263,0.64,46,72
89,0.0,1.0,0.0,0.0,234,1.33,44,33
90,1.0,0.0,0.0,0.0,19,0.94,80,85
91,0.0,0.0,0.0,1.0,42,1.03,102,99
92,1.0,0.0,0.0,0.0,17,1.05,41,39
93,0.0,0.0,1.0,0.0,213,1.19,43,36
94,0.0,0.0,0.0,1.0,45,1.24,244,196
95,0.0,0.0,0.0,1.0,75,0.55,41,74
96,0.0,0.0,0.0,1.0,44,1.22,245,201
97,1.0,0.0,0.0,0.0,26,0.95,104,110
98,0.0,0.0,1.0,0.0,224,1.01,122,121
99,0.0,0.0,0.0,1.0,61,0.86,89,103
100,0.0,0.0,1.0,0.0,222,0.84,61,73
101,0.0,0.0,0.0,1.0,61,0.96,106,110
102,0.0,0.0,1.0,0.0,228,1.0,68,68
103,0.0,0.0,0.0,1.0,45,1.21,178,147
104,0.0,0.0,1.0,0.0,208,1.11,42,38
105,1.0,0.0,0.0,0.0,20,0.92,57,62
106,0.0,0.0,1.0,0.0,212,1.05,41,39
107,1.0,0.0,0.0,0.0,18,0.92,72,78
108,1.0,0.0,0.0,0.0,26,0.94,96,102
109,0.0,0.0,0.0,1.0,66,0.65,86,133
110,1.0,0.0,0.0,0.0,18,0.94,59,63
111,1.0,0.0,0.0,0.0,18,0.94,59,63
112,1.0,0.0,0.0,0.0,22,1.08,64,59
113,1.0,0.0,0.0,0.0,23,0.96,102,106
114,0.0,1.0,0.0,0.0,240,0.83,72,87
115,1.0,0.0,0.0,0.0,23,0.96,102,106
116,0.0,0.0,1.0,0.0,197,1.05,41,39
117,1.0,0.0,0.0,0.0,23,0.95,76,80
118,1.0,0.0,0.0,0.0,20,1.0,51,51
119,0.0,1.0,0.0,0.0,244,0.75,33,44
120,0.0,0.0,0.0,1.0,70,0.55,58,105
121,0.0,0.0,0.0,1.0,46,1.23,249,202
122,0.0,0.0,1.0,0.0,219,1.31,109,83
123,0.0,0.0,0.0,1.0,78,0.51,57,112
124,1.0,0.0,0.0,0.0,35,0.92,119,130
125,0.0,0.0,0.0,1.0,54,0.87,130,150
126,1.0,0.0,0.0,0.0,40,1.23,140,114
127,1.0,0.0,0.0,0.0,15,0.91,41,45
128,1.0,0.0,0.0,0.0,17,0.88,73,83
129,0.0,1.0,0.0,0.0,256,0.45,43,95
130,1.0,0.0,0.0,0.0,27,1.03,120,117
131,0.0,0.0,1.0,0.0,228,0.86,108,126
132,0.0,0.0,0.0,1.0,50,1.12,141,126
133,1.0,0.0,0.0,0.0,27,1.0,88,88
134,0.0,0.0,1.0,0.0,220,0.86,89,103
135,0.0,1.0,0.0,0.0,249,0.61,46,76
136,0.0,0.0,0.0,1.0,68,0.61,90,147
137,0.0,0.0,0.0,1.0,75,0.5,27,54
138,0.0,0.0,1.0,0.0,210,0.89,32,36
139,1.0,0.0,0.0,0.0,23,1.03,36,35
140,0.0,1.0,0.0,0.0,240,0.76,68,90
141,0.0,0.0,0.0,1.0,60,0.83,76,92
142,1.0,0.0,0.0,0.0,53,1.02,126,124
143,0.0,0.0,1.0,0.0,211,1.07,46,43
144,0.0,0.0,0.0,1.0,47,1.13,141,125
145,1.0,0.0,0.0,0.0,29,1.02,133,131
146,1.0,0.0,0.0,0.0,15,0.94,73,78
147,0.0,0.0,1.0,0.0,211,0.98,40,41
148,0.0,0.0,1.0,0.0,215,1.1,100,91
149,1.0,0.0,0.0,0.0,24,0.96,82,85
150,0.0,0.0,0.0,1.0,69,0.94,95,101
151,0.0,1.0,0.0,0.0,246,0.94,61,65
152,0.0,0.0,1.0,0.0,222,1.06,67,63
153,1.0,0.0,0.0,0.0,37,0.92,168,182
154,1.0,0.0,0.0,0.0,323,0.88,57,65
155,1.0,0.0,0.0,0.0,314,1.03,40,39
156,0.0,0.0,0.0,1.0,129,1.03,79,77
157,0.0,0.0,0.0,1.0,58,1.02,229,225
158,0.0,0.0,0.0,1.0,58,1.02,229,225
159,1.0,0.0,0.0,0.0,32,1.06,88,83
160,1.0,0.0,0.0,0.0,32,1.06,88,83
161,0.0,1.0,0.0,0.0,253,0.47,24,51
162,1.0,0.0,0.0,0.0,31,1.0,255,254
163,0.0,1.0,0.0,0.0,247,0.86,60,70
164,0.0,1.0,0.0,0.0,247,0.86,60,70
165,1.0,0.0,0.0,0.0,25,0.94,122,130
166,1.0,0.0,0.0,0.0,30,1.07,111,104
167,1.0,0.0,0.0,0.0,20,1.05,69,66
168,1.0,0.0,0.0,0.0,21,1.12,86,77
169,1.0,0.0,0.0,0.0,21,1.12,86,77
170,0.0,0.0,1.0,0.0,222,1.01,74,73
171,1.0,0.0,0.0,0.0,16,0.92,36,39
172,1.0,0.0,0.0,0.0,14,0.95,89,94
173,1.0,0.0,0.0,0.0,346,1.11,42,38
174,1.0,0.0,0.0,0.0,19,1.05,101,96
175,0.0,0.0,1.0,0.0,213,1.14,42,37
176,0.0,0.0,1.0,0.0,209,1.3,65,50
177,0.0,0.0,0.0,1.0,47,1.29,145,112
178,0.0,0.0,1.0,0.0,223,1.07,75,70
179,0.0,0.0,0.0,1.0,63,0.73,191,262
180,0.0,0.0,0.0,1.0,63,0.73,191,262
181,0.0,1.0,0.0,0.0,248,0.75,49,65
182,0.0,0.0,0.0,1.0,88,0.96,44,46
183,0.0,1.0,0.0,0.0,248,0.63,32,51
184,1.0,0.0,0.0,0.0,18,0.94,132,140
185,1.0,0.0,0.0,0.0,18,0.94,132,140
186,1.0,0.0,0.0,0.0,23,0.88,52,59
187,1.0,0.0,0.0,0.0,355,0.92,34,37
188,1.0,0.0,0.0,0.0,42,1.0,139,139
189,1.0,0.0,0.0,0.0,42,1.0,139,139
190,0.0,1.0,0.0,0.0,245,0.78,39,50
191,0.0,1.0,0.0,0.0,246,0.66,44,67
192,0.0,0.0,1.0,0.0,217,1.06,56,53
193,1.0,0.0,0.0,0.0,20,0.97,65,67
194,0.0,0.0,1.0,0.0,213,0.86,32,37
195,0.0,0.0,0.0,1.0,46,1.14,114,100
196,0.0,0.0,0.0,1.0,46,1.14,114,100
197,0.0,0.0,1.0,0.0,206,1.0,46,46
198,0.0,0.0,0.0,1.0,59,0.97,38,39
199,0.0,1.0,0.0,0.0,227,1.31,84,64
200,0.0,0.0,0.0,1.0,52,1.08,144,133
201,0.0,1.0,0.0,0.0,253,0.55,56,101
202,0.0,0.0,0.0,1.0,52,1.08,144,133
203,0.0,0.0,0.0,1.0,67,1.04,135,130
204,0.0,0.0,0.0,1.0,67,1.04,135,130
205,0.0,1.0,0.0,0.0,264,0.75,55,73
206,0.0,0.0,0.0,1.0,55,0.99,197,199
207,0.0,0.0,0.0,1.0,99,0.91,41,45
208,1.0,0.0,0.0,0.0,28,0.94,194,207
209,1.0,0.0,0.0,0.0,23,0.96,114,119
210,1.0,0.0,0.0,0.0,19,1.02,153,150
211,0.0,0.0,1.0,0.0,200,1.03,37,36
212,0.0,1.0,0.0,0.0,309,1.31,47,36
213,0.0,0.0,1.0,0.0,219,0.96,51,53
214,0.0,0.0,1.0,0.0,229,0.79,56,71
215,1.0,0.0,0.0,0.0,22,1.07,116,108
216,0.0,1.0,0.0,0.0,229,1.09,59,54
217,0.0,0.0,0.0,1.0,104,1.05,69,66
218,0.0,0.0,0.0,1.0,73,0.87,129,148
219,0.0,0.0,0.0,1.0,55,1.11,207,186
220,0.0,1.0,0.0,0.0,250,0.57,44,77
221,0.0,0.0,0.0,1.0,68,0.76,142,188
222,0.0,0.0,1.0,0.0,224,1.07,77,72
223,0.0,0.0,1.0,0.0,224,1.07,77,72
224,0.0,0.0,0.0,1.0,60,1.05,272,258
225,1.0,0.0,0.0,0.0,47,0.91,128,140
226,0.0,0.0,1.0,0.0,212,0.79,54,68
227,0.0,0.0,1.0,0.0,212,0.79,54,68
228,0.0,0.0,1.0,0.0,219,0.95,69,73
229,0.0,0.0,0.0,1.0,68,0.65,191,292
230,1.0,0.0,0.0,0.0,40,1.12,143,128
231,0.0,0.0,1.0,0.0,215,1.37,41,30
232,0.0,0.0,1.0,0.0,219,0.98,54,55
233,0.0,1.0,0.0,0.0,254,0.42,28,67
234,1.0,0.0,0.0,0.0,24,0.94,150,159
235,1.0,0.0,0.0,0.0,24,0.92,145,158
236,0.0,0.0,0.0,1.0,50,1.42,275,194
237,0.0,1.0,0.0,0.0,232,0.92,58,63
238,1.0,0.0,0.0,0.0,18,0.92,140,153
239,1.0,0.0,0.0,0.0,27,0.95,159,167
240,0.0,1.0,0.0,0.0,246,0.67,37,55
241,1.0,0.0,0.0,0.0,14,0.95,86,91
242,1.0,0.0,0.0,0.0,23,0.88,105,119
243,1.0,0.0,0.0,0.0,23,0.88,105,119
244,1.0,0.0,0.0,0.0,21,0.92,97,106
245,1.0,0.0,0.0,0.0,16,0.91,40,44
246,0.0,0.0,1.0,0.0,204,0.9,64,71
247,1.0,0.0,0.0,0.0,21,0.89,77,87
248,1.0,0.0,0.0,0.0,25,0.94,127,135
249,0.0,0.0,1.0,0.0,196,0.85,46,54
250,0.0,0.0,1.0,0.0,206,1.12,86,77
251,0.0,0.0,0.0,1.0,47,1.13,270,238
252,0.0,0.0,0.0,1.0,96,1.06,57,54
253,0.0,0.0,0.0,1.0,86,0.98,52,53
254,0.0,1.0,0.0,0.0,275,1.07,48,45
255,0.0,0.0,0.0,1.0,76,0.57,124,216
256,0.0,0.0,1.0,0.0,195,0.73,41,56
257,0.0,0.0,0.0,1.0,51,1.44,39,27
258,0.0,0.0,1.0,0.0,217,1.14,42,37
259,0.0,0.0,0.0,1.0,62,0.74,99,133
260,0.0,0.0,1.0,0.0,219,1.14,57,50
261,0.0,0.0,0.0,1.0,53,1.09,82,75
262,1.0,0.0,0.0,0.0,26,1.07,95,89
263,1.0,0.0,0.0,0.0,42,1.01,94,93
264,0.0,0.0,0.0,1.0,81,0.43,64,150
265,0.0,1.0,0.0,0.0,256,0.76,52,68
266,0.0,1.0,0.0,0.0,312,1.2,159,133
267,0.0,0.0,0.0,1.0,45,1.26,269,214
268,0.0,0.0,0.0,1.0,46,1.08,200,186
269,1.0,0.0,0.0,0.0,16,0.92,99,108
270,0.0,1.0,0.0,0.0,244,0.6,26,43
271,0.0,0.0,0.0,1.0,50,1.13,77,68
272,0.0,0.0,0.0,1.0,50,1.13,77,68
273,0.0,0.0,0.0,1.0,54,1.09,75,69
274,0.0,0.0,1.0,0.0,217,1.05,43,41
275,0.0,0.0,0.0,1.0,72,0.46,36,79
276,0.0,0.0,0.0,1.0,46,1.2,159,133
277,0.0,0.0,0.0,1.0,72,0.44,63,142
278,0.0,0.0,1.0,0.0,206,1.13,60,53
279,1.0,0.0,0.0,0.0,22,1.0,62,62
280,1.0,0.0,0.0,0.0,22,0.99,125,126
281,0.0,0.0,1.0,0.0,221,0.93,42,45
282,0.0,0.0,1.0,0.0,225,0.95,78,82
283,0.0,0.0,0.0,1.0,76,0.46,40,87
284,1.0,0.0,0.0,0.0,25,1.13,138,122
285,0.0,1.0,0.0,0.0,243,0.78,75,96
286,1.0,0.0,0.0,0.0,27,0.93,143,154
287,0.0,0.0,1.0,0.0,208,0.96,73,76
288,0.0,0.0,0.0,1.0,44,1.1,159,144
289,1.0,0.0,0.0,0.0,29,1.01,161,160
290,0.0,1.0,0.0,0.0,244,0.63,63,100
291,0.0,0.0,0.0,1.0,60,0.76,87,115
292,0.0,0.0,1.0,0.0,220,0.94,73,78
293,0.0,0.0,1.0,0.0,213,1.09,48,44
294,0.0,1.0,0.0,0.0,231,1.11,89,80
295,1.0,0.0,0.0,0.0,23,1.12,83,74
296,0.0,0.0,0.0,1.0,59,0.91,204,225
297,1.0,0.0,0.0,0.0,18,1.13,108,96
298,0.0,0.0,0.0,1.0,49,1.58,49,31
299,1.0,0.0,0.0,0.0,23,1.01,137,136
300,0.0,0.0,0.0,1.0,53,1.01,146,144
301,0.0,0.0,0.0,1.0,65,0.72,98,136
302,1.0,0.0,0.0,0.0,18,0.97,61,63
303,0.0,0.0,1.0,0.0,196,0.88,38,43
304,0.0,0.0,0.0,1.0,56,0.86,137,160
305,1.0,0.0,0.0,0.0,22,1.12,119,106
306,0.0,0.0,0.0,1.0,56,0.97,126,130
307,1.0,0.0,0.0,0.0,19,0.75,52,69
308,0.0,0.0,0.0,1.0,46,1.31,134,102
309,0.0,0.0,0.0,1.0,46,1.09,110,101
310,0.0,0.0,1.0,0.0,206,0.71,34,48
311,0.0,0.0,1.0,0.0,227,1.04,93,89
312,0.0,1.0,0.0,0.0,245,0.66,31,47
313,0.0,0.0,0.0,1.0,50,1.12,299,268
314,0.0,0.0,1.0,0.0,219,1.07,76,71
315,0.0,1.0,0.0,0.0,259,0.53,36,68
316,0.0,0.0,0.0,1.0,58,1.02,88,86
317,0.0,0.0,1.0,0.0,212,1.18,124,105
318,1.0,0.0,0.0,0.0,28,1.06,182,171
319,0.0,0.0,0.0,1.0,69,0.59,154,259
320,0.0,0.0,1.0,0.0,199,0.92,48,52
321,1.0,0.0,0.0,0.0,18,0.97,97,100
322,0.0,0.0,1.0,0.0,199,0.92,48,52
323,0.0,0.0,0.0,1.0,42,1.14,162,142
324,0.0,0.0,0.0,1.0,65,0.76,113,148
325,1.0,0.0,0.0,0.0,17,0.98,87,89
326,1.0,0.0,0.0,0.0,17,0.98,87,89
327,1.0,0.0,0.0,0.0,27,1.11,132,119
328,0.0,0.0,0.0,1.0,54,1.02,130,127
329,0.0,0.0,0.0,1.0,60,0.88,90,102
330,1.0,0.0,0.0,0.0,27,1.11,132,119
331,0.0,0.0,1.0,0.0,205,1.06,67,63
332,0.0,0.0,1.0,0.0,226,1.05,135,128
333,0.0,0.0,0.0,1.0,65,0.95,116,122
334,0.0,0.0,1.0,0.0,221,0.98,82,84
335,0.0,0.0,0.0,1.0,52,1.03,116,113
336,0.0,0.0,0.0,1.0,52,1.03,116,113
337,1.0,0.0,0.0,0.0,20,0.97,67,69
338,0.0,1.0,0.0,0.0,225,1.22,66,54
339,0.0,0.0,0.0,1.0,57,1.05,86,82
340,1.0,0.0,0.0,0.0,15,1.09,48,44
341,1.0,0.0,0.0,0.0,39,1.13,94,83
342,0.0,0.0,1.0,0.0,219,0.97,60,62
343,0.0,0.0,0.0,1.0,47,1.29,216,167
344,0.0,0.0,1.0,0.0,205,0.92,36,39
345,0.0,0.0,0.0,1.0,58,0.85,191,224
346,0.0,0.0,1.0,0.0,206,1.02,47,46
347,0.0,0.0,0.0,1.0,58,0.85,191,224
348,1.0,0.0,0.0,0.0,19,0.9,93,103
349,0.0,0.0,1.0,0.0,215,1.05,39,37
350,1.0,0.0,0.0,0.0,18,0.94,49,52
351,0.0,0.0,0.0,1.0,70,0.64,35,55
352,0.0,0.0,1.0,0.0,210,1.05,40,38
353,0.0,0.0,0.0,1.0,68,0.78,59,76
354,1.0,0.0,0.0,0.0,21,0.98,85,87
355,0.0,0.0,0.0,1.0,73,0.62,99,160
356,0.0,1.0,0.0,0.0,250,0.74,55,74
357,1.0,0.0,0.0,0.0,12,0.9,57,63
358,0.0,1.0,0.0,0.0,250,0.74,55,74
359,1.0,0.0,0.0,0.0,12,0.9,57,63
360,0.0,0.0,0.0,1.0,60,0.8,210,261
361,0.0,0.0,1.0,0.0,207,1.07,91,85
362,1.0,0.0,0.0,0.0,12,0.91,61,67
363,1.0,0.0,0.0,0.0,13,0.95,54,57
364,0.0,1.0,0.0,0.0,241,0.84,98,116
365,1.0,0.0,0.0,0.0,21,0.9,56,62
366,0.0,0.0,0.0,1.0,66,0.65,147,226
367,0.0,0.0,0.0,1.0,79,0.7,55,79
368,0.0,0.0,0.0,1.0,66,0.65,147,226
369,0.0,0.0,1.0,0.0,229,1.16,79,68
370,0.0,0.0,1.0,0.0,148,1.19,44,37
371,1.0,0.0,0.0,0.0,18,0.95,92,97
372,1.0,0.0,0.0,0.0,19,0.85,90,106
373,0.0,0.0,1.0,0.0,203,0.96,45,47
374,1.0,0.0,0.0,0.0,13,0.85,45,53
375,1.0,0.0,0.0,0.0,13,0.85,45,53
376,0.0,0.0,0.0,1.0,61,0.86,100,116
377,0.0,0.0,0.0,1.0,58,1.0,91,91
378,1.0,0.0,0.0,0.0,13,0.62,38,61
379,0.0,0.0,1.0,0.0,194,0.9,36,40
380,1.0,0.0,0.0,0.0,24,0.95,174,184
381,0.0,0.0,1.0,0.0,220,1.15,84,73
382,0.0,0.0,0.0,1.0,54,1.03,102,99
383,0.0,0.0,1.0,0.0,217,1.04,77,74
384,1.0,0.0,0.0,0.0,31,0.93,84,90
385,0.0,0.0,0.0,1.0,70,0.6,115,193
386,0.0,0.0,1.0,0.0,213,1.08,93,86
387,1.0,0.0,0.0,0.0,15,1.01,68,67
388,0.0,1.0,0.0,0.0,245,0.68,57,84
389,1.0,0.0,0.0,0.0,17,0.98,107,109
390,1.0,0.0,0.0,0.0,19,0.81,76,94
391,0.0,0.0,1.0,0.0,194,1.03,38,37
392,0.0,0.0,1.0,0.0,194,1.03,38,37
393,0.0,0.0,1.0,0.0,210,0.9,65,72
394,1.0,0.0,0.0,0.0,15,1.0,74,74
395,1.0,0.0,0.0,0.0,24,0.84,92,110
396,1.0,0.0,0.0,0.0,24,0.84,92,110
397,0.0,0.0,1.0,0.0,213,1.02,103,101
398,1.0,0.0,0.0,0.0,27,1.04,172,165
399,0.0,0.0,1.0,0.0,202,1.0,38,38
400,0.0,0.0,0.0,1.0,53,0.96,93,97
401,0.0,0.0,0.0,1.0,53,0.96,93,97
402,0.0,0.0,1.0,0.0,202,1.0,38,38
403,1.0,0.0,0.0,0.0,13,0.9,75,83
404,0.0,0.0,1.0,0.0,214,1.14,48,42
405,0.0,0.0,1.0,0.0,212,0.98,40,41
406,0.0,0.0,1.0,0.0,212,0.98,40,41
407,1.0,0.0,0.0,0.0,15,0.91,58,64
408,1.0,0.0,0.0,0.0,21,0.58,63,109
409,1.0,0.0,0.0,0.0,21,0.58,63,109
410,0.0,1.0,0.0,0.0,254,1.07,131,123
411,1.0,0.0,0.0,0.0,32,0.97,149,154
412,1.0,0.0,0.0,0.0,32,0.97,149,154
413,0.0,0.0,0.0,1.0,70,0.55,69,125
414,1.0,0.0,0.0,0.0,23,1.02,89,87
415,0.0,1.0,0.0,0.0,253,0.73,43,59
416,0.0,1.0,0.0,0.0,253,0.73,43,59
417,0.0,0.0,0.0,1.0,71,0.49,80,164
418,0.0,0.0,1.0,0.0,205,1.09,89,82
419,0.0,1.0,0.0,0.0,236,1.46,98,67
420,0.0,0.0,0.0,1.0,92,0.81,30,37
421,0.0,0.0,1.0,0.0,213,0.91,60,66
422,1.0,0.0,0.0,0.0,21,0.95,107,113
423,0.0,0.0,1.0,0.0,213,0.91,60,66
424,0.0,0.0,0.0,1.0,71,0.64,49,77
425,0.0,0.0,1.0,0.0,158,0.92,45,49
426,0.0,0.0,0.0,1.0,122,0.8,55,69
427,0.0,1.0,0.0,0.0,306,1.04,152,146
428,0.0,0.0,1.0,0.0,203,0.86,88,102
429,0.0,0.0,1.0,0.0,219,1.15,62,54
430,0.0,0.0,0.0,1.0,70,0.61,88,144
431,1.0,0.0,0.0,0.0,13,0.98,64,65
432,1.0,0.0,0.0,0.0,27,1.04,71,68
433,0.0,0.0,1.0,0.0,156,0.93,40,43
434,1.0,0.0,0.0,0.0,16,1.09,102,94
435,1.0,0.0,0.0,0.0,34,1.0,92,92
436,0.0,0.0,0.0,1.0,42,1.26,117,93
437,0.0,0.0,1.0,0.0,220,1.22,138,113
438,0.0,0.0,0.0,1.0,45,1.51,232,154
439,1.0,0.0,0.0,0.0,15,0.95,87,92
440,0.0,0.0,1.0,0.0,194,0.91,39,43
441,0.0,0.0,1.0,0.0,204,0.95,74,78
442,1.0,0.0,0.0,0.0,21,1.03,80,78
443,0.0,0.0,0.0,1.0,56,0.92,89,97
444,0.0,0.0,1.0,0.0,213,0.96,89,93
445,0.0,0.0,0.0,1.0,65,0.74,97,131
446,0.0,1.0,0.0,0.0,250,0.73,72,98
447,1.0,0.0,0.0,0.0,19,0.96,95,99
448,1.0,0.0,0.0,0.0,16,0.81,42,52
449,1.0,0.0,0.0,0.0,15,0.83,49,59
450,0.0,0.0,1.0,0.0,199,1.02,52,51
451,1.0,0.0,0.0,0.0,13,0.85,44,52
452,0.0,0.0,1.0,0.0,202,1.1,67,61
453,0.0,0.0,1.0,0.0,194,0.91,40,44
454,0.0,0.0,0.0,1.0,62,0.84,92,109
455,1.0,0.0,0.0,0.0,343,1.0,36,36
456,0.0,0.0,1.0,0.0,224,0.93,65,70
457,1.0,0.0,0.0,0.0,26,1.07,207,193
458,0.0,0.0,0.0,1.0,66,0.6,66,110
459,1.0,0.0,0.0,0.0,31,1.02,104,102
460,1.0,0.0,0.0,0.0,13,0.95,71,75
461,1.0,0.0,0.0,0.0,40,1.12,163,145
462,0.0,1.0,0.0,0.0,257,0.54,51,94
463,0.0,0.0,1.0,0.0,228,1.1,108,98
464,0.0,0.0,1.0,0.0,212,0.71,60,84
465,0.0,0.0,1.0,0.0,227,1.55,62,40
466,0.0,0.0,0.0,1.0,81,0.41,46,113
467,0.0,0.0,0.0,1.0,60,0.8,93,116
468,0.0,0.0,0.0,1.0,65,0.71,84,118
469,1.0,0.0,0.0,0.0,28,0.89,98,110
470,0.0,1.0,0.0,0.0,240,0.92,55,60
471,1.0,0.0,0.0,0.0,39,1.0,236,237
472,0.0,0.0,0.0,1.0,53,1.01,121,120
473,0.0,0.0,1.0,0.0,214,1.0,50,50
474,0.0,0.0,1.0,0.0,197,0.97,32,33
475,0.0,0.0,1.0,0.0,206,0.97,60,62
476,0.0,0.0,0.0,1.0,60,0.77,178,230
477,0.0,0.0,0.0,1.0,54,0.8,164,205
478,0.0,1.0,0.0,0.0,250,0.53,26,49
479,1.0,0.0,0.0,0.0,38,1.21,250,207
480,0.0,1.0,0.0,0.0,239,0.82,56,68
481,0.0,0.0,0.0,1.0,60,0.74,116,156
482,0.0,0.0,1.0,0.0,141,1.1,46,42
483,1.0,0.0,0.0,0.0,40,0.91,198,218
484,1.0,0.0,0.0,0.0,24,1.03,92,89
485,0.0,0.0,0.0,1.0,45,1.18,261,221
486,1.0,0.0,0.0,0.0,38,1.09,209,191
487,0.0,0.0,1.0,0.0,205,0.94,84,89
488,0.0,0.0,1.0,0.0,205,0.94,84,89
489,0.0,1.0,0.0,0.0,246,0.82,47,57
490,1.0,0.0,0.0,0.0,27,1.04,158,152
491,0.0,0.0,0.0,1.0,64,0.77,103,133
492,1.0,0.0,0.0,0.0,21,0.98,85,87
493,1.0,0.0,0.0,0.0,21,0.98,85,87
